City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,Morón,-34.6534,-58.6198,72.63,32,6,9.22,AR,1604350800
155,Mezen',65.8522,44.24,30.65,90,16,14.03,RU,1604350800
156,Santa Cruz,30.4202,-9.5982,71.62,72,10,4.21,MA,1604350800
157,Saskylakh,71.9167,114.0833,5.85,93,99,7.02,RU,1604350800
158,Broome,42.2506,-75.833,33.24,68,51,11.05,US,1604350800
159,Souillac,-20.5167,57.5167,71.33,72,58,10.65,MU,1604350800
160,Yatou,37.15,122.3833,44.24,60,35,6.29,CN,1604350800
161,Sargatskoye,55.6101,73.4972,30.88,95,100,8.23,RU,1604350800
162,Wad Rāwah,15.1603,33.1397,88.36,20,0,19.13,SD,1604350800
163,Ţaga,46.95,24.05,46.94,88,95,0.89,RO,1604350800
164,Cabo San Lucas,22.8909,-109.9124,85.42,52,11,6.51,MX,1604350800
165,Castro,-24.7911,-50.0119,67.44,49,12,2.04,BR,1604350800
166,Brae,60.3964,-1.353,47.97,71,97,17.02,GB,1604350800
167,Port Elizabeth,-33.918,25.5701,64.94,86,0,14.47,ZA,1604350800
168,Mount Gambier,-37.8333,140.7667,66.22,55,97,10.2,AU,1604350800
169,Paracuru,-3.41,-39.0306,80.65,77,16,11.79,BR,1604350800
170,East London,-33.0153,27.9116,67.86,81,69,15.46,ZA,1604350800
171,Murgūd,16.4,74.2,69.94,66,0,4.34,IN,1604350800
172,Ryōtsu-minato,38.0833,138.4333,57.88,68,80,19.19,JP,1604350800
173,Inhambane,-23.865,35.3833,72.28,77,7,6.87,MZ,1604350800
174,Tokonou,9.65,-9.7833,76.73,59,11,0.96,GN,1604350800
175,Cookeville,36.1628,-85.5016,49.12,37,1,6.13,US,1604350800
176,Plettenberg Bay,-34.0527,23.3716,64.87,87,2,5.91,ZA,1604350800
177,Beeville,28.4008,-97.7483,72.72,49,55,6.42,US,1604350800
178,Pacific Grove,36.6177,-121.9166,69.37,44,1,7.78,US,1604350800
179,Uray,60.1247,64.7758,25.54,97,11,5.64,RU,1604350800
180,Dalby,-27.1833,151.2667,62.55,72,0,14.41,AU,1604350800
181,Buluang,13.3068,123.3425,77.09,88,100,2.35,PH,1604350800
182,Deloraine,-41.5333,146.6667,56.98,74,86,1.88,AU,1604350800
183,Naifaru,5.4444,73.3657,82.78,73,31,5.44,MV,1604350800
184,Chitral,35.8462,71.7858,52.99,32,0,5.14,PK,1604350800
185,Fort Nelson,58.8053,-122.7002,13.51,86,95,4.59,CA,1604350800
186,Ubinskoye,55.3068,79.6802,31.53,96,100,5.97,RU,1604350800
187,Yulara,-25.2406,130.9889,74.84,37,45,13.53,AU,1604350800
188,Norman Wells,65.282,-126.8329,7.83,82,87,5.35,CA,1604350800
189,Cooma,-36.2333,149.1333,56.21,87,49,0.81,AU,1604350800
190,Elk Plain,47.0532,-122.3976,64.8,40,6,3.02,US,1604350800
191,Baisha,26.5222,110.9311,56.97,67,88,1.9,CN,1604350800
192,Qaanaaq,77.484,-69.3632,6.24,78,96,6.69,GL,1604350800
193,Jesús María,-30.9815,-64.0942,80.56,30,0,10.69,AR,1604350800
194,Codrington,-38.2667,141.9667,62.64,60,97,13.82,AU,1604350800
195,Ilulissat,69.2167,-51.1,17.82,79,60,10.02,GL,1604350800
196,Biak,-0.9131,122.8766,77.31,66,100,3.38,ID,1604350800
197,Narsaq,60.9167,-46.05,21.58,65,83,10.78,GL,1604350800
198,Port-Cartier,50.0334,-66.8654,34.57,90,100,23.22,CA,1604350800
199,Severnoye,56.3491,78.3619,30.58,99,100,6.67,RU,1604350800
200,Korla,41.7597,86.1469,38.05,68,27,1.39,CN,1604350800
201,Serro,-18.6047,-43.3794,66.63,84,88,5.12,BR,1604350800
202,Constanța,44.1833,28.65,54.12,73,49,5.57,RO,1604350800
203,Dunedin,-45.8742,170.5036,54.07,67,91,7.45,NZ,1604350800
204,George Town,5.4112,100.3354,78.22,89,44,6.11,MY,1604350800
205,Sfântu Gheorghe,45.8667,25.7833,44.24,81,100,1.5,RO,1604350800
206,Half Moon Bay,37.4636,-122.4286,74.71,34,3,4.59,US,1604350800
207,Ternate,0.8,127.4,78.08,86,98,5.73,ID,1604350800
208,Province of Trapani,37.8333,12.6667,59.63,87,0,4.32,IT,1604350800
209,Carnarvon,-24.8667,113.6333,65.59,75,9,15.82,AU,1604350800
210,Okha,53.5739,142.9478,32.63,93,11,10.89,RU,1604350800
211,Aksu,41.1231,80.2644,39.27,63,14,0.94,CN,1604350800
212,Dalbandin,28.8947,64.4101,54.0,25,0,4.07,PK,1604350800
213,Makkah al Mukarramah,21.4267,39.8261,80.28,66,11,5.7,SA,1604350800
214,Newport,51.5877,-2.9984,48.56,71,9,20.11,GB,1604350800
215,Tuktoyaktuk,69.4541,-133.0374,5.25,84,94,12.68,CA,1604350800
216,Poum,-20.2333,164.0167,77.43,77,100,5.46,NC,1604350800
217,Bolivar,37.6145,-93.4105,59.34,36,0,14.79,US,1604350800
218,Chui,-33.6971,-53.4616,64.87,66,40,8.79,UY,1604350800
219,Ouango,4.3133,22.5552,72.32,93,85,1.34,CF,1604350800
220,Edgewater,28.9889,-80.9023,65.71,63,10,19.91,US,1604350800
221,Beloha,-25.1667,45.05,68.97,81,1,12.8,MG,1604350800
222,Longyearbyen,78.2186,15.6401,34.11,83,87,21.07,SJ,1604350800
223,Bitung,1.4451,125.1824,76.77,89,59,10.07,ID,1604350800
224,Jardim,-21.4803,-56.1381,84.72,41,30,4.32,BR,1604350800
225,Torbay,47.6666,-52.7314,54.54,94,95,37.36,CA,1604350800
226,Kavaratti,10.5669,72.642,82.38,69,0,4.99,IN,1604350800
227,Cabra,37.4725,-4.4421,64.72,62,0,2.73,ES,1604350800
228,Rosarito,32.3333,-117.0333,73.31,49,3,9.26,MX,1604350800
229,Alice Springs,-23.7,133.8833,74.62,20,0,7.2,AU,1604350800
230,Ubajara,-3.8544,-40.9211,82.94,52,63,1.86,BR,1604350800
231,Saldanha,-33.0117,17.9442,70.77,49,44,9.73,ZA,1604350800
232,Mersing,2.4312,103.8405,76.87,93,99,5.39,MY,1604350800
233,Rogovatoye,51.23,38.3818,48.42,91,96,9.71,RU,1604350800
234,Nelson Bay,-32.7167,152.15,63.32,77,87,7.52,AU,1604350800
235,Pailitas,8.9565,-73.6255,86.76,70,53,4.12,CO,1604350800
236,Dzhebariki-Khaya,62.2167,135.8,-12.82,87,0,3.31,RU,1604350800
237,Jackson,42.4165,-122.8345,78.08,27,1,1.79,US,1604350800
238,Taoudenni,22.6783,-3.9836,83.61,15,100,8.34,ML,1604350800
239,Denpasar,-8.65,115.2167,76.57,80,95,4.09,ID,1604350800
240,Rayong,12.8333,101.4333,78.4,84,31,6.33,TH,1604350800
241,Noumea,-22.2763,166.4572,78.66,67,49,0.04,NC,1604350800
242,Szigetvár,46.0486,17.8055,57.07,85,100,4.0,HU,1604350800
243,Fontem,5.4685,9.8818,68.41,83,76,3.09,CM,1604350800
244,Roald,62.5833,6.1333,49.62,71,69,25.03,NO,1604350800
245,Mahébourg,-20.4081,57.7,71.55,72,46,11.18,MU,1604350800
246,Luang Prabang,19.8856,102.1347,71.74,78,59,1.54,LA,1604350800
247,La Orilla,17.9833,-102.2333,88.56,51,9,4.41,MX,1604350800
248,Itamaraju,-17.0392,-39.5311,68.27,93,100,5.57,BR,1604350800
249,Deputatsky,69.3,139.9,-14.48,82,0,2.95,RU,1604350800
250,Portland,45.5234,-122.6762,64.53,42,10,1.36,US,1604350800
251,Nador,35.174,-2.9287,64.49,76,38,0.6,MA,1604350800
252,Lüderitz,-26.6481,15.1594,61.65,86,68,7.58,NA,1604350800
253,Vila Velha,-20.3297,-40.2925,71.73,61,41,14.56,BR,1604350800
254,Copperas Cove,31.1241,-97.9031,69.57,29,1,3.15,US,1604350800
255,Port-Gentil,-0.7193,8.7815,78.53,86,58,7.4,GA,1604350800
256,Saint-Joseph,-21.3667,55.6167,68.99,64,87,10.22,RE,1604350800
257,Riyadh,24.6877,46.7219,68.85,30,0,5.79,SA,1604350800
258,Micheweni,-4.9667,39.8333,78.13,79,62,10.96,TZ,1604350800
259,Norfolk,42.1668,-71.2495,36.48,60,64,14.47,US,1604350800
260,Nome,64.5011,-165.4064,21.0,89,46,4.52,US,1604350800
261,Bagotville,-28.9833,153.4167,63.91,69,51,12.17,AU,1604350800
262,Kaeo,-35.1,173.7833,66.96,82,98,11.36,NZ,1604350800
263,Tevaitoa,-16.7833,-151.5,80.89,77,1,18.59,PF,1604350800
264,San Carlos,9.6612,-68.5827,83.32,77,45,2.24,VE,1604350800
265,Kuzovatovo,53.5468,47.6866,37.92,87,100,5.7,RU,1604350800
266,Kruisfontein,-34.0033,24.7314,62.47,91,0,9.89,ZA,1604350800
267,Valparaíso,-33.0393,-71.6273,57.96,76,28,12.3,CL,1604350800
268,Kamenka,51.3223,42.7678,43.41,84,66,8.77,RU,1604350800
269,Aden,12.7794,45.0367,81.66,68,0,14.14,YE,1604350800
270,Talnakh,69.4865,88.3972,14.22,94,99,6.06,RU,1604350800
271,Lumphat,13.4878,106.9816,67.26,84,76,3.02,KH,1604350800
272,Dingle,10.9995,122.6711,75.54,88,98,4.99,PH,1604350800
273,Cruz Alta,-28.6386,-53.6064,73.4,44,0,8.3,BR,1604350800
274,Sulangan,11.1373,123.7228,82.83,74,94,6.73,PH,1604350800
275,Sun Valley,39.5963,-119.776,72.57,13,1,3.51,US,1604350800
276,Chapais,49.7834,-74.8492,20.08,84,85,7.87,CA,1604350800
277,Urengoy,65.9667,78.3667,23.18,97,99,12.97,RU,1604350800
278,Pangody,65.85,74.4859,16.77,96,60,10.04,RU,1604350800
279,Tsimmerbude,54.675,20.1347,56.53,97,87,12.37,RU,1604350800
280,Ulladulla,-35.35,150.4667,61.56,86,5,1.74,AU,1604350800
281,Alta Floresta,-9.8756,-56.0861,79.75,82,89,3.76,BR,1604350800
282,Ushtobe,45.2514,77.9838,42.78,60,94,4.43,KZ,1604350800
283,Rome,43.2128,-75.4557,33.24,81,75,16.08,US,1604350800
284,Cockburn Town,21.4612,-71.1419,83.23,73,47,12.95,TC,1604350800
285,Shihezi,44.3,86.0333,38.35,69,9,2.46,CN,1604350800
286,Beitbridge,-22.2167,30.0,77.72,49,42,9.24,ZW,1604350800
287,Vila do Maio,15.1333,-23.2167,80.8,58,17,9.86,CV,1604350800
288,Hazorasp,41.3194,61.0742,52.83,40,0,8.23,UZ,1604350800
289,Sarab,38.6066,44.9883,59.11,41,79,5.64,IR,1604350800
290,Muros,42.7762,-9.0603,55.49,82,49,4.56,ES,1604350800
291,Gmina Opole Lubelskie,51.1478,21.969,52.38,69,100,8.19,PL,1604350800
292,Katangli,51.7102,143.2326,32.54,93,51,6.6,RU,1604350800
293,Mogadishu,2.0371,45.3438,79.48,82,1,9.28,SO,1604350800
294,Rawson,-43.3002,-65.1023,79.54,22,63,7.78,AR,1604350800
295,Navalmoral de la Mata,39.8916,-5.5406,61.79,83,93,1.88,ES,1604350800
296,Namatanai,-3.6667,152.4333,82.42,78,10,3.11,PG,1604350800
297,Ostrovnoy,68.0531,39.5131,35.38,84,85,31.23,RU,1604350800
298,El Alto,-4.2714,-81.2147,67.42,72,32,17.02,PE,1604350800
299,Kulhudhuffushi,6.6221,73.07,82.96,69,12,7.29,MV,1604350800
300,Virginia Beach,36.8529,-75.978,50.88,41,0,17.49,US,1604350800
301,Kirkwall,58.9848,-2.9587,50.18,75,82,24.92,GB,1604350800
302,Bartica,6.4,-58.6167,74.28,96,87,2.93,GY,1604350800
303,Bathsheba,13.2167,-59.5167,82.47,71,59,15.93,BB,1604350800
304,Kununurra,-15.7667,128.7333,87.76,58,65,7.87,AU,1604350800
305,Aras,42.5617,-2.356,58.1,84,84,3.15,ES,1604350800
306,Colquechaca,-18.6667,-66.0167,44.08,59,20,8.7,BO,1604350800
307,Voh,-20.9667,164.7,79.7,75,100,2.89,NC,1604350800
308,Amalāpuram,16.5833,82.0167,76.71,82,40,2.06,IN,1604350800
309,Ahipara,-35.1667,173.1667,67.19,81,98,13.67,NZ,1604350800
310,Salalah,17.0151,54.0924,75.4,55,0,2.62,OM,1604350800
311,Matamoros,25.5333,-103.25,74.71,29,3,9.98,MX,1604350800
312,Bemidji,47.4736,-94.8803,51.06,66,16,8.16,US,1604350800
313,Pevek,69.7008,170.3133,13.73,89,88,18.07,RU,1604350800
314,Sioux Lookout,50.1001,-91.917,40.01,75,86,7.74,CA,1604350800
315,Aleksandrov Gay,50.147,48.5704,49.84,48,96,6.31,RU,1604350800
316,Natal,-5.795,-35.2094,80.51,75,21,11.86,BR,1604350800
317,Fort William,56.8165,-5.1121,42.78,88,98,4.05,GB,1604350800
318,Gari,59.4307,62.3497,24.55,97,0,4.92,RU,1604350800
319,Esperance,-33.8667,121.9,61.3,91,80,17.29,AU,1604350800
320,San Cristobal,7.7669,-72.225,79.0,79,69,0.43,VE,1604350800
321,Thinadhoo,0.5333,72.9333,82.89,75,100,8.97,MV,1604350800
322,Fairbanks,64.8378,-147.7164,0.45,85,41,1.5,US,1604350800
